SNAP (SNAP INC),20.42,+0.67,
Feb 18 2018 @ 16:15 ET,Bid,20.41,Ask,20.42,Size,0x0,Vol,33917697,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 7.00 (SNAP1816B7-A),0.0,0.0,12.45,15.70,0,0,18 Feb 7.00 (SNAP1816N7-A),0.0,0.0,0.0,0.0,0,16,
18 Feb 7.00 (SNAP1816B7-B),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-B),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-E),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-E),0.02,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-I),0.0,0.0,12.70,15.50,0,0,18 Feb 7.00 (SNAP1816N7-I),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-J),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-J),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-K),0.0,0.0,11.60,15.85,0,0,18 Feb 7.00 (SNAP1816N7-K),0.0,0.0,0.0,5.00,0,16,
18 Feb 7.00 (SNAP1816B7-O),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-O),0.06,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-OG),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-OG),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-P),0.0,0.0,12.45,15.70,0,0,18 Feb 7.00 (SNAP1816N7-P),0.0,0.0,0.0,0.0,0,16,
18 Feb 7.00 (SNAP1816B7-S),0.0,0.0,12.45,15.50,0,0,18 Feb 7.00 (SNAP1816N7-S),0.0,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-X),0.0,0.0,12.70,15.50,0,0,18 Feb 7.00 (SNAP1816N7-X),0.03,0.0,0.0,0.10,0,16,
18 Feb 7.00 (SNAP1816B7-Y),0.0,0.0,11.00,16.00,0,0,18 Feb 7.00 (SNAP1816N7-Y),0.0,0.0,0.0,5.00,0,16,
18 Feb 8.00 (SNAP1816B8),9.20,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8),0.01,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-3),5.55,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-3),0.05,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-4),0.0,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-4),0.03,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-8),0.0,0.0,10.05,15.00,0,28,18 Feb 8.00 (SNAP1816N8-8),0.11,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-A),0.0,0.0,11.10,14.10,0,28,18 Feb 8.00 (SNAP1816N8-A),0.07,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-B),0.0,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-B),0.0,0.0,0.0,0.10,0,671,
18 Feb 8.00 (SNAP1816B8-E),5.90,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-E),0.05,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-I),0.0,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-I),0.02,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-J),0.0,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-J),0.0,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-K),0.0,0.0,10.00,15.00,0,28,18 Feb 8.00 (SNAP1816N8-K),0.0,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-O),0.0,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-O),0.09,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-OG),6.55,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-OG),0.03,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-P),9.20,0.0,12.05,12.95,0,28,18 Feb 8.00 (SNAP1816N8-P),0.0,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-S),0.0,0.0,12.30,12.95,0,28,18 Feb 8.00 (SNAP1816N8-S),0.09,0.0,0.0,0.13,0,671,
18 Feb 8.00 (SNAP1816B8-X),0.0,0.0,12.30,12.70,0,28,18 Feb 8.00 (SNAP1816N8-X),0.01,0.0,0.0,0.05,0,671,
18 Feb 8.00 (SNAP1816B8-Y),0.0,0.0,10.00,15.00,0,28,18 Feb 8.00 (SNAP1816N8-Y),0.04,0.0,0.0,0.05,0,671,
18 Feb 8.50 (SNAP1816B8.5),8.85,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5),0.01,0.0,0.0,0.01,0,138,
18 Feb 8.50 (SNAP1816B8.5-3),8.85,0.0,11.85,12.65,0,33,18 Feb 8.50 (SNAP1816N8.5-3),0.0,0.0,0.0,0.09,0,138,
18 Feb 8.50 (SNAP1816B8.5-4),0.0,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-4),0.0,0.0,0.0,0.01,0,138,
18 Feb 8.50 (SNAP1816B8.5-8),0.0,0.0,11.60,12.65,0,33,18 Feb 8.50 (SNAP1816N8.5-8),0.0,0.0,0.0,0.29,0,138,
18 Feb 8.50 (SNAP1816B8.5-A),0.0,0.0,10.45,13.65,0,33,18 Feb 8.50 (SNAP1816N8.5-A),0.08,0.0,0.0,0.09,0,138,
18 Feb 8.50 (SNAP1816B8.5-B),0.0,0.0,11.60,12.65,0,33,18 Feb 8.50 (SNAP1816N8.5-B),0.0,0.0,0.0,0.05,0,138,
18 Feb 8.50 (SNAP1816B8.5-E),0.0,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-E),0.0,0.0,0.0,0.01,0,138,
18 Feb 8.50 (SNAP1816B8.5-I),0.0,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-I),0.04,0.0,0.0,0.02,0,138,
18 Feb 8.50 (SNAP1816B8.5-J),0.0,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-J),0.0,0.0,0.0,0.09,0,138,
18 Feb 8.50 (SNAP1816B8.5-K),0.0,0.0,9.65,14.50,0,33,18 Feb 8.50 (SNAP1816N8.5-K),0.0,0.0,0.0,5.00,0,138,
18 Feb 8.50 (SNAP1816B8.5-O),0.0,0.0,11.60,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-O),0.0,0.0,0.0,0.02,0,138,
18 Feb 8.50 (SNAP1816B8.5-OG),0.0,0.0,11.60,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-OG),0.01,0.0,0.0,0.02,0,138,
18 Feb 8.50 (SNAP1816B8.5-P),8.85,0.0,11.60,12.65,0,33,18 Feb 8.50 (SNAP1816N8.5-P),0.01,0.0,0.0,0.01,0,138,
18 Feb 8.50 (SNAP1816B8.5-S),0.0,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-S),0.01,0.0,0.0,0.09,0,138,
18 Feb 8.50 (SNAP1816B8.5-X),0.0,0.0,11.85,12.40,0,33,18 Feb 8.50 (SNAP1816N8.5-X),0.0,0.0,0.0,0.09,0,138,
18 Feb 8.50 (SNAP1816B8.5-Y),0.0,0.0,9.50,14.50,0,33,18 Feb 8.50 (SNAP1816N8.5-Y),0.0,0.0,0.0,5.00,0,138,
18 Feb 9.00 (SNAP1816B9),10.18,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9),0.01,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-3),8.30,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-3),0.01,0.0,0.0,0.11,0,267,
18 Feb 9.00 (SNAP1816B9-4),4.75,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-4),0.0,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-8),5.58,0.0,10.80,11.90,0,24,18 Feb 9.00 (SNAP1816N9-8),0.02,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-A),5.15,0.0,10.65,12.95,0,24,18 Feb 9.00 (SNAP1816N9-A),0.0,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-B),10.18,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-B),0.0,0.0,0.0,0.10,0,267,
18 Feb 9.00 (SNAP1816B9-E),9.40,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-E),0.09,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-I),9.75,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-I),0.06,0.0,0.0,0.11,0,267,
18 Feb 9.00 (SNAP1816B9-J),4.75,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-J),0.0,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-K),0.0,0.0,9.05,14.00,0,24,18 Feb 9.00 (SNAP1816N9-K),0.0,0.0,0.0,5.00,0,267,
18 Feb 9.00 (SNAP1816B9-O),9.95,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-O),0.0,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-OG),5.05,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-OG),0.01,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-P),5.55,0.0,11.10,11.95,0,24,18 Feb 9.00 (SNAP1816N9-P),0.03,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-S),4.25,0.0,11.35,11.95,0,24,18 Feb 9.00 (SNAP1816N9-S),0.0,0.0,0.0,0.10,0,267,
18 Feb 9.00 (SNAP1816B9-X),8.40,0.0,11.35,11.70,0,24,18 Feb 9.00 (SNAP1816N9-X),0.02,0.0,0.0,0.05,0,267,
18 Feb 9.00 (SNAP1816B9-Y),4.95,0.0,9.00,14.00,0,24,18 Feb 9.00 (SNAP1816N9-Y),0.01,0.0,0.0,5.00,0,267,
18 Feb 9.50 (SNAP1816B9.5),4.40,0.0,10.80,11.40,0,15,18 Feb 9.50 (SNAP1816N9.5),0.11,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-3),4.40,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-3),0.0,0.0,0.0,0.10,0,190,
18 Feb 9.50 (SNAP1816B9.5-4),0.0,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-4),0.0,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-8),0.0,0.0,10.55,11.70,0,15,18 Feb 9.50 (SNAP1816N9.5-8),0.11,0.0,0.0,0.22,0,190,
18 Feb 9.50 (SNAP1816B9.5-A),0.0,0.0,10.55,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-A),0.0,0.0,0.0,0.10,0,190,
18 Feb 9.50 (SNAP1816B9.5-B),0.0,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-B),0.0,0.0,0.0,0.05,0,190,
18 Feb 9.50 (SNAP1816B9.5-E),0.0,0.0,10.80,11.40,0,15,18 Feb 9.50 (SNAP1816N9.5-E),0.11,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-I),0.0,0.0,10.80,11.40,0,15,18 Feb 9.50 (SNAP1816N9.5-I),0.11,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-J),0.0,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-J),0.0,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-K),0.0,0.0,8.60,13.50,0,15,18 Feb 9.50 (SNAP1816N9.5-K),0.0,0.0,0.0,5.00,0,190,
18 Feb 9.50 (SNAP1816B9.5-O),0.0,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-O),0.11,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-OG),4.15,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-OG),0.11,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-P),0.0,0.0,10.55,11.70,0,15,18 Feb 9.50 (SNAP1816N9.5-P),0.11,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-S),0.0,0.0,10.80,11.70,0,15,18 Feb 9.50 (SNAP1816N9.5-S),0.11,0.0,0.0,0.10,0,190,
18 Feb 9.50 (SNAP1816B9.5-X),0.0,0.0,10.80,11.65,0,15,18 Feb 9.50 (SNAP1816N9.5-X),0.05,0.0,0.0,0.02,0,190,
18 Feb 9.50 (SNAP1816B9.5-Y),0.0,0.0,8.50,13.50,0,15,18 Feb 9.50 (SNAP1816N9.5-Y),0.11,0.0,0.0,5.00,0,190,
18 Feb 10.00 (SNAP1816B10),8.54,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10),0.02,0.0,0.0,0.01,0,3269,
18 Feb 10.00 (SNAP1816B10-3),3.90,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-3),0.01,0.0,0.0,0.09,0,3269,
18 Feb 10.00 (SNAP1816B10-4),4.60,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-4),0.14,0.0,0.0,2.13,0,3269,
18 Feb 10.00 (SNAP1816B10-8),3.32,0.0,10.35,10.50,0,125,18 Feb 10.00 (SNAP1816N10-8),0.03,0.0,0.0,5.00,0,3269,
