GM (GENERAL MOTORS COMPANY),41.09,-0.76,
Feb 18 2018 @ 16:17 ET,Bid,41.08,Ask,41.09,Size,0x0,Vol,14871775,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 20.00 (GM1816B20-B),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-B),0.11,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-E),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-E),0.11,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-I),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-I),0.11,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-J),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-J),0.0,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-K),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-K),0.0,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-O),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-O),0.03,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-OG),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-OG),0.0,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-P),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-P),0.0,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-S),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-S),0.0,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-X),23.05,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-X),0.11,0.0,0.0,0.05,0,270,
18 Feb 20.00 (GM1816B20-Y),0.0,0.0,21.05,21.20,0,22,18 Feb 20.00 (GM1816N20-Y),0.0,0.0,0.0,0.05,0,270,
18 Feb 21.00 (GM1816B21),22.40,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21),0.11,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-3),22.40,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-3),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-4),0.0,0.0,20.05,20.30,0,42,18 Feb 21.00 (GM1816N21-4),0.0,0.0,0.0,0.03,0,31,
18 Feb 21.00 (GM1816B21-8),0.0,0.0,17.95,22.50,0,42,18 Feb 21.00 (GM1816N21-8),0.0,0.0,0.0,0.28,0,31,
18 Feb 21.00 (GM1816B21-A),0.0,0.0,0.0,0.0,0,42,18 Feb 21.00 (GM1816N21-A),0.0,0.0,0.0,0.03,0,31,
